Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4392684k free), swap 16212796k(12088928k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=2147483648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:33:12.014+0800: 46.627: [GC (Allocation Failure) 2020-10-27T01:33:12.014+0800: 46.627: [DefNew: 33953K->24K(38144K), 0.0030895 secs] 57938K->24010K(122816K), 0.0031762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:12.695+0800: 47.307: [GC (Allocation Failure) 2020-10-27T01:33:12.695+0800: 47.307: [DefNew: 33944K->33K(38144K), 0.0034252 secs] 57930K->24022K(122816K), 0.0035273 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:13.326+0800: 47.948: [GC (Allocation Failure) 2020-10-27T01:33:13.326+0800: 47.948: [DefNew: 33953K->36K(38144K), 0.0031448 secs] 57942K->24024K(122816K), 0.0032361 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:13.935+0800: 48.560: [GC (Allocation Failure) 2020-10-27T01:33:13.935+0800: 48.560: [DefNew: 33956K->23K(38144K), 0.0027336 secs] 57944K->24012K(122816K), 0.0028193 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:14.598+0800: 49.211: [GC (Allocation Failure) 2020-10-27T01:33:14.598+0800: 49.211: [DefNew: 33943K->23K(38144K), 0.0032001 secs] 57932K->24011K(122816K), 0.0032945 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:15.208+0800: 49.825: [GC (Allocation Failure) 2020-10-27T01:33:15.208+0800: 49.825: [DefNew: 33943K->21K(38144K), 0.0031855 secs] 57931K->24010K(122816K), 0.0032958 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:15.864+0800: 50.489: [GC (Allocation Failure) 2020-10-27T01:33:15.864+0800: 50.489: [DefNew: 33941K->21K(38144K), 0.0029933 secs] 57930K->24010K(122816K), 0.0030997 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:16.473+0800: 51.086: [GC (Allocation Failure) 2020-10-27T01:33:16.473+0800: 51.086: [DefNew: 33941K->21K(38144K), 0.0030295 secs] 57930K->24009K(122816K), 0.0031249 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:17.067+0800: 51.688: [GC (Allocation Failure) 2020-10-27T01:33:17.067+0800: 51.689: [DefNew: 33941K->25K(38144K), 0.0034510 secs] 57929K->24014K(122816K), 0.0035533 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:17.676+0800: 52.295: [GC (Allocation Failure) 2020-10-27T01:33:17.676+0800: 52.295: [DefNew: 33945K->28K(38144K), 0.0034012 secs] 57934K->24017K(122816K), 0.0035077 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:18.324+0800: 52.937: [GC (Allocation Failure) 2020-10-27T01:33:18.324+0800: 52.937: [DefNew: 33948K->26K(38144K), 0.0033509 secs] 57937K->24015K(122816K), 0.0034556 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:19.008+0800: 53.621: [GC (Allocation Failure) 2020-10-27T01:33:19.008+0800: 53.621: [DefNew: 33946K->23K(38144K), 0.0032234 secs] 57935K->24012K(122816K), 0.0033251 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:19.639+0800: 54.251: [GC (Allocation Failure) 2020-10-27T01:33:19.639+0800: 54.251: [DefNew: 33943K->22K(38144K), 0.0030075 secs] 57932K->24011K(122816K), 0.0030943 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:20.281+0800: 54.893: [GC (Allocation Failure) 2020-10-27T01:33:20.281+0800: 54.893: [DefNew: 33942K->34K(38144K), 0.0029528 secs] 57931K->24023K(122816K), 0.0030384 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:20.930+0800: 55.542: [GC (Allocation Failure) 2020-10-27T01:33:20.930+0800: 55.542: [DefNew: 33954K->22K(38144K), 0.0029752 secs] 57943K->24011K(122816K), 0.0030768 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:21.545+0800: 56.165: [GC (Allocation Failure) 2020-10-27T01:33:21.545+0800: 56.165: [DefNew: 33942K->21K(38144K), 0.0032638 secs] 57931K->24011K(122816K), 0.0034228 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:22.211+0800: 56.824: [GC (Allocation Failure) 2020-10-27T01:33:22.212+0800: 56.824: [DefNew: 33941K->22K(38144K), 0.0032491 secs] 57931K->24011K(122816K), 0.0033519 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:22.883+0800: 57.496: [GC (Allocation Failure) 2020-10-27T01:33:22.883+0800: 57.496: [DefNew: 33942K->47K(38144K), 0.0033952 secs] 57931K->24036K(122816K), 0.0034893 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:23.493+0800: 58.114: [GC (Allocation Failure) 2020-10-27T01:33:23.493+0800: 58.114: [DefNew: 33967K->23K(38144K), 0.0031590 secs] 57956K->24012K(122816K), 0.0032665 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:24.109+0800: 58.722: [GC (Allocation Failure) 2020-10-27T01:33:24.109+0800: 58.722: [DefNew: 33943K->25K(38144K), 0.0031451 secs] 57932K->24014K(122816K), 0.0032536 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:24.789+0800: 59.401: [GC (Allocation Failure) 2020-10-27T01:33:24.789+0800: 59.402: [DefNew: 33945K->21K(38144K), 0.0026458 secs] 57934K->24010K(122816K), 0.0027325 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:25.405+0800: 60.031: [GC (Allocation Failure) 2020-10-27T01:33:25.405+0800: 60.031: [DefNew: 33941K->31K(38144K), 0.0031161 secs] 57930K->24021K(122816K), 0.0032087 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T01:33:26.061+0800: 60.682: [GC (Allocation Failure) 2020-10-27T01:33:26.061+0800: 60.682: [DefNew: 33951K->21K(38144K), 0.0030793 secs] 57941K->24011K(122816K), 0.0031816 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:26.670+0800: 61.289: [GC (Allocation Failure) 2020-10-27T01:33:26.670+0800: 61.289: [DefNew: 33941K->34K(38144K), 0.0032566 secs] 57931K->24024K(122816K), 0.0033669 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:27.264+0800: 61.889: [GC (Allocation Failure) 2020-10-27T01:33:27.264+0800: 61.889: [DefNew: 33954K->31K(38144K), 0.0030508 secs] 57944K->24023K(122816K), 0.0031477 secs] [Times: user=0.00 sys=0.01, real=0.02 secs] 
2020-10-27T01:33:27.936+0800: 62.550: [GC (Allocation Failure) 2020-10-27T01:33:27.936+0800: 62.550: [DefNew: 33951K->20K(38144K), 0.0028547 secs] 57943K->24011K(122816K), 0.0029399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:28.569+0800: 63.182: [GC (Allocation Failure) 2020-10-27T01:33:28.569+0800: 63.182: [DefNew: 33940K->20K(38144K), 0.0030763 secs] 57931K->24011K(122816K), 0.0032032 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:29.212+0800: 63.825: [GC (Allocation Failure) 2020-10-27T01:33:29.212+0800: 63.825: [DefNew: 33940K->22K(38144K), 0.0030411 secs] 57931K->24013K(122816K), 0.0031457 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:29.839+0800: 64.452: [GC (Allocation Failure) 2020-10-27T01:33:29.839+0800: 64.452: [DefNew: 33942K->22K(38144K), 0.0029925 secs] 57933K->24013K(122816K), 0.0030895 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:30.487+0800: 65.099: [GC (Allocation Failure) 2020-10-27T01:33:30.487+0800: 65.099: [DefNew: 33942K->16K(38144K), 0.0028585 secs] 57933K->24008K(122816K), 0.0029554 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:31.184+0800: 65.797: [GC (Allocation Failure) 2020-10-27T01:33:31.184+0800: 65.797: [DefNew: 33935K->20K(38144K), 0.0028358 secs] 57926K->24012K(122816K), 0.0029420 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:31.793+0800: 66.412: [GC (Allocation Failure) 2020-10-27T01:33:31.793+0800: 66.412: [DefNew: 33940K->21K(38144K), 0.0030876 secs] 57932K->24012K(122816K), 0.0031896 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:32.418+0800: 67.040: [GC (Allocation Failure) 2020-10-27T01:33:32.418+0800: 67.040: [DefNew: 33941K->45K(38144K), 0.0029826 secs] 57932K->24036K(122816K), 0.0030816 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:33.027+0800: 67.651: [GC (Allocation Failure) 2020-10-27T01:33:33.027+0800: 67.652: [DefNew: 33965K->33K(38144K), 0.0029554 secs] 57956K->24024K(122816K), 0.0030553 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:33.621+0800: 68.240: [GC (Allocation Failure) 2020-10-27T01:33:33.621+0800: 68.240: [DefNew: 33952K->20K(38144K), 0.0031057 secs] 57944K->24012K(122816K), 0.0032006 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:34.277+0800: 68.900: [GC (Allocation Failure) 2020-10-27T01:33:34.277+0800: 68.900: [DefNew: 33933K->20K(38144K), 0.0029304 secs] 57924K->24012K(122816K), 0.0030256 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:33:34.930+0800: 69.550: [GC (Allocation Failure) 2020-10-27T01:33:34.930+0800: 69.550: [DefNew: 33940K->24K(38144K), 0.0032570 secs] 57932K->24015K(122816K), 0.0033509 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
