Java HotSpot(TM) 64-Bit Server VM (25.231-b11) for windows-amd64 JRE (1.8.0_231-b11), built on Oct  5 2019 03:11:30 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8086332k(4499900k free), swap 16212796k(12157380k free)
CommandLine flags: -XX:InitialHeapSize=129381312 -XX:MaxHeapSize=536870912 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
2020-10-27T01:18:46.055+0800: 30.266: [GC (Allocation Failure) 2020-10-27T01:18:46.055+0800: 30.266: [DefNew: 33974K->44K(38144K), 0.0033408 secs] 58001K->24075K(122816K), 0.0034294 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:46.646+0800: 30.857: [GC (Allocation Failure) 2020-10-27T01:18:46.647+0800: 30.857: [DefNew: 33964K->37K(38144K), 0.0036287 secs] 57995K->24068K(122816K), 0.0037465 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:47.217+0800: 31.427: [GC (Allocation Failure) 2020-10-27T01:18:47.217+0800: 31.427: [DefNew: 33957K->35K(38144K), 0.0035693 secs] 57988K->24067K(122816K), 0.0036647 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:47.782+0800: 31.993: [GC (Allocation Failure) 2020-10-27T01:18:47.782+0800: 31.993: [DefNew: 33955K->37K(38144K), 0.0037098 secs] 57987K->24068K(122816K), 0.0038205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:48.489+0800: 32.699: [GC (Allocation Failure) 2020-10-27T01:18:48.489+0800: 32.699: [DefNew: 33957K->37K(38144K), 0.0034565 secs] 57988K->24069K(122816K), 0.0035688 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:49.443+0800: 33.653: [GC (Allocation Failure) 2020-10-27T01:18:49.443+0800: 33.653: [DefNew: 33957K->37K(38144K), 0.0033657 secs] 57989K->24069K(122816K), 0.0034588 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:49.973+0800: 34.188: [GC (Allocation Failure) 2020-10-27T01:18:49.973+0800: 34.188: [DefNew: 33957K->35K(38144K), 0.0029038 secs] 57989K->24066K(122816K), 0.0029956 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:50.596+0800: 34.806: [GC (Allocation Failure) 2020-10-27T01:18:50.596+0800: 34.806: [DefNew: 33955K->41K(38144K), 0.0043259 secs] 57986K->24072K(122816K), 0.0044325 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2020-10-27T01:18:51.165+0800: 35.388: [GC (Allocation Failure) 2020-10-27T01:18:51.165+0800: 35.388: [DefNew: 33961K->34K(38144K), 0.0034975 secs] 57992K->24070K(122816K), 0.0036075 secs] [Times: user=0.01 sys=0.00, real=0.02 secs] 
2020-10-27T01:18:51.696+0800: 35.912: [GC (Allocation Failure) 2020-10-27T01:18:51.696+0800: 35.912: [DefNew: 33954K->47K(38144K), 0.0036928 secs] 57990K->24083K(122816K), 0.0038055 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:52.257+0800: 36.468: [GC (Allocation Failure) 2020-10-27T01:18:52.257+0800: 36.468: [DefNew: 33967K->32K(38144K), 0.0035121 secs] 58003K->24068K(122816K), 0.0036223 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:52.857+0800: 37.067: [GC (Allocation Failure) 2020-10-27T01:18:52.857+0800: 37.067: [DefNew: 33952K->34K(38144K), 0.0031587 secs] 57988K->24070K(122816K), 0.0032558 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:53.660+0800: 37.870: [GC (Allocation Failure) 2020-10-27T01:18:53.660+0800: 37.870: [DefNew: 33954K->34K(38144K), 0.0037991 secs] 57990K->24070K(122816K), 0.0039053 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:54.390+0800: 38.601: [GC (Allocation Failure) 2020-10-27T01:18:54.390+0800: 38.601: [DefNew: 33954K->46K(38144K), 0.0032530 secs] 57990K->24083K(122816K), 0.0033655 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:55.075+0800: 39.292: [GC (Allocation Failure) 2020-10-27T01:18:55.075+0800: 39.292: [DefNew: 33966K->32K(38144K), 0.0034383 secs] 58003K->24070K(122816K), 0.0035511 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:55.731+0800: 39.953: [GC (Allocation Failure) 2020-10-27T01:18:55.731+0800: 39.954: [DefNew: 33952K->34K(38144K), 0.0026391 secs] 57990K->24073K(122816K), 0.0027958 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:56.545+0800: 40.756: [GC (Allocation Failure) 2020-10-27T01:18:56.545+0800: 40.756: [DefNew: 33954K->34K(38144K), 0.0035015 secs] 57993K->24072K(122816K), 0.0036036 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:57.261+0800: 41.471: [GC (Allocation Failure) 2020-10-27T01:18:57.261+0800: 41.471: [DefNew: 33954K->30K(38144K), 0.0034767 secs] 57992K->24068K(122816K), 0.0035815 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:57.847+0800: 42.073: [GC (Allocation Failure) 2020-10-27T01:18:57.847+0800: 42.073: [DefNew: 33950K->31K(38144K), 0.0037378 secs] 57988K->24069K(122816K), 0.0038370 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T01:18:58.551+0800: 42.762: [GC (Allocation Failure) 2020-10-27T01:18:58.551+0800: 42.762: [DefNew: 33951K->32K(38144K), 0.0029163 secs] 57989K->24070K(122816K), 0.0030162 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:59.234+0800: 43.445: [GC (Allocation Failure) 2020-10-27T01:18:59.234+0800: 43.445: [DefNew: 33952K->33K(38144K), 0.0035325 secs] 57990K->24072K(122816K), 0.0036396 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:18:59.881+0800: 44.106: [GC (Allocation Failure) 2020-10-27T01:18:59.881+0800: 44.106: [DefNew: 33953K->46K(38144K), 0.0054499 secs] 57992K->24084K(122816K), 0.0055632 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2020-10-27T01:19:00.548+0800: 44.758: [GC (Allocation Failure) 2020-10-27T01:19:00.548+0800: 44.758: [DefNew: 33966K->32K(38144K), 0.0029026 secs] 58004K->24072K(122816K), 0.0029916 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:01.191+0800: 45.401: [GC (Allocation Failure) 2020-10-27T01:19:01.191+0800: 45.401: [DefNew: 33952K->30K(38144K), 0.0036417 secs] 57992K->24070K(122816K), 0.0037606 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:01.800+0800: 46.011: [GC (Allocation Failure) 2020-10-27T01:19:01.800+0800: 46.011: [DefNew: 33950K->32K(38144K), 0.0030187 secs] 57990K->24072K(122816K), 0.0031276 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:02.429+0800: 46.639: [GC (Allocation Failure) 2020-10-27T01:19:02.429+0800: 46.639: [DefNew: 33952K->31K(38144K), 0.0031946 secs] 57992K->24071K(122816K), 0.0033026 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:03.056+0800: 47.276: [GC (Allocation Failure) 2020-10-27T01:19:03.056+0800: 47.276: [DefNew: 33951K->32K(38144K), 0.0031438 secs] 57991K->24072K(122816K), 0.0032856 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:03.687+0800: 47.898: [GC (Allocation Failure) 2020-10-27T01:19:03.687+0800: 47.898: [DefNew: 33952K->44K(38144K), 0.0028213 secs] 57992K->24084K(122816K), 0.0029016 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:04.319+0800: 48.530: [GC (Allocation Failure) 2020-10-27T01:19:04.319+0800: 48.530: [DefNew: 33961K->32K(38144K), 0.0029559 secs] 58002K->24073K(122816K), 0.0030564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:04.944+0800: 49.154: [GC (Allocation Failure) 2020-10-27T01:19:04.944+0800: 49.154: [DefNew: 33952K->30K(38144K), 0.0034165 secs] 57993K->24070K(122816K), 0.0035218 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:05.629+0800: 49.839: [GC (Allocation Failure) 2020-10-27T01:19:05.629+0800: 49.839: [DefNew: 33950K->29K(38144K), 0.0035056 secs] 57990K->24070K(122816K), 0.0036064 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:06.265+0800: 50.481: [GC (Allocation Failure) 2020-10-27T01:19:06.265+0800: 50.481: [DefNew: 33949K->32K(38144K), 0.0030543 secs] 57990K->24074K(122816K), 0.0031460 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:06.890+0800: 51.107: [GC (Allocation Failure) 2020-10-27T01:19:06.890+0800: 51.107: [DefNew: 33952K->30K(38144K), 0.0032108 secs] 57994K->24072K(122816K), 0.0033145 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-10-27T01:19:07.500+0800: 51.716: [GC (Allocation Failure) 2020-10-27T01:19:07.500+0800: 51.717: [DefNew: 33950K->42K(38144K), 0.0030212 secs] 57992K->24084K(122816K), 0.0031123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
